Date,Benchmark Eurostoxx50,Benchmark Stoxx600
2021-12-15,4159.68017578125,470.760009765625
2021-12-16,4201.8701171875,476.55999755859375
2021-12-17,4161.35009765625,473.8999938964844
2021-12-20,4107.1298828125,467.3500061035156
2021-12-21,4174.990234375,473.989990234375
2021-12-22,4217.06005859375,478.3599853515625
2021-12-23,4265.85986328125,483.010009765625
2021-12-24,4265.85986328125,483.010009765625
2021-12-27,4287.97998046875,485.489990234375
2021-12-28,4311.93017578125,488.5
2021-12-29,4284.830078125,487.9800109863281
2021-12-30,4306.06982421875,488.7099914550781
2021-12-31,4306.06982421875,488.7099914550781
2022-01-03,4331.81982421875,489.989990234375
2022-01-04,4367.6201171875,494.0199890136719
2022-01-05,4392.14990234375,494.3500061035156
2022-01-06,4324.81005859375,488.1600036621094
2022-01-07,4305.830078125,486.25
2022-01-10,4239.52001953125,479.0400085449219
2022-01-11,4281.5400390625,483.0799865722656
2022-01-12,4316.39013671875,486.2000122070313
2022-01-13,4315.89990234375,486.0499877929688
2022-01-14,4272.18994140625,481.1600036621094
2022-01-17,4302.14013671875,484.510009765625
2022-01-18,4257.81982421875,479.7900085449219
2022-01-19,4268.27978515625,480.8999938964844
2022-01-20,4299.60986328125,483.3500061035156
2022-01-21,4229.56005859375,474.4400024414063
2022-01-24,4054.360107421875,456.3599853515625
2022-01-25,4078.260009765625,459.5899963378906
2022-01-26,4164.60009765625,467.30999755859375
2022-01-27,4184.97021484375,470.3299865722656
2022-01-28,4136.91015625,465.5499877929688
2022-01-31,4174.60009765625,468.8800048828125
2022-02-01,4224.4501953125,474.8599853515625
2022-02-02,4222.0498046875,477.010009765625
2022-02-03,4141.02001953125,468.6300048828125
2022-02-04,4086.580078125,462.1499938964844
2022-02-07,4120.56005859375,465.2799987792969
2022-02-08,4129.25,465.3399963378906
2022-02-09,4204.08984375,473.3299865722656
2022-02-10,4197.06982421875,472.3500061035156
2022-02-11,4155.22998046875,469.5700073242188
2022-02-14,4064.449951171875,460.9599914550781
2022-02-15,4143.7099609375,467.55999755859375
2022-02-16,4137.22021484375,467.7699890136719
2022-02-17,4113.18994140625,464.5499877929688
2022-02-18,4074.280029296875,460.80999755859375
2022-02-21,3985.7099609375,454.80999755859375
2022-02-22,3985.469970703125,455.1199951171875
2022-02-23,3973.409912109375,453.8599853515625
2022-02-24,3829.2900390625,438.9599914550781
2022-02-25,3970.68994140625,453.5299987792969
2022-02-28,3924.22998046875,453.1099853515625
2022-03-01,3765.85009765625,442.3699951171875
2022-03-02,3820.590087890625,446.3299865722656
2022-03-03,3741.780029296875,437.3599853515625
2022-03-04,3556.010009765625,421.7799987792969
2022-03-07,3512.219970703125,417.1300048828125
2022-03-08,3505.2900390625,415.010009765625
2022-03-09,3766.02001953125,434.4500122070313
2022-03-10,3651.389892578125,427.1199951171875
2022-03-11,3686.780029296875,431.1700134277344
2022-03-14,3741.10009765625,436.3500061035156
2022-03-15,3738.110107421875,435.1199951171875
2022-03-16,3889.68994140625,448.4500122070313
2022-03-17,3885.320068359375,450.489990234375
2022-03-18,3902.43994140625,454.6000061035156
2022-03-21,3881.800048828125,454.7900085449219
2022-03-22,3926.1201171875,458.6499938964844
